id,author,author_channel_id,comment,likes,published_at,parent_id,video_title
UgyIxBzz1n2o0l5kPeJ4AaABAg,@ImaadhShahabdeeen,UCB-V2x6LKCd6VrLXu8Ud7Dg,Im also in this challenge,0,2026-05-17T13:39:59Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxBNOn-ITVWDbAgvH94AaABAg,@Qmitchell222,UCTwI9DdcqhdxPe8RqgXrBgw,MICHELLE,0,2026-05-16T14:47:55Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgyPrDJB3HLCgKhlM9p4AaABAg,@FurqanHaq-k4v,UC-pJ2IMqy7EksWZxHQRbSkg,Ok bro just start 2:30,0,2026-05-15T21:29:06Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugyd4nieG_LNcVgZHUh4AaABAg,@BaconMan-b9q,UCmKwnvxf_ZuPYHnZdWJ7pbQ,2:05 the switch from “ALL ON BLACK” to “my dad has cancer” is crazy,5,2026-05-14T01:20:06Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxL4qa553IymISzuG54AaABAg,@ArnoldMusekiwa-m7i,UCcPpVsqsoH4IdGPD7yuapLw,Can l join the games,0,2026-05-13T19:28:12Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugz4FYAumxg-t0APhCV4AaABAg,@marcyemilio8846,UCAWJ8CoxZLMi7qqLdZoDxsA,Dumb blondes they say,0,2026-05-13T13:04:57Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugxo4D9PWJJ5dtpIG694AaABAg,@BarreraRucoprince,UC_JcsRzzsBo7gLtivndO6Zg,Hi Mr beast I guess that you're not gonna see this comment but I just wanna say that Im you're big fan but I can't join you're membership because I don't have the money and Im not even teen but I'm gonna be in August 24 I guess if they give me money I will be a member of yours,0,2026-05-13T11:16:07Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwKrX8ENhSVEOe5z4F4AaABAg,@EdwardCaballero-x7h,UCFoo_I2Na0k0izUBFPon7bg,The first challenge def took out the bigge/ stronger people bc their own body weight made it harder for them,0,2026-05-12T15:04:57Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugwp3aoI6yHWj0I-lCJ4AaABAg,@Lifegoeson-e1x,UCkseJAzyEXMqBYT3P2WOciA,A SHOUT OUT TO PLAYER 110 IS THE BEST MOTHER A CHILD CAN HAVE,0,2026-05-11T21:01:01Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugyy-5n7fcL90sH3Lt94AaABAg,@Eso.riddle,UCPv7Uhpyp4kFdPQTrOx3KKw,TREAT YOUR EMPLOYEES WELL. YOURE HERE THANKS TO US!!!,0,2026-05-11T19:10:27Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwMF8UwzPs_oFY5F6J4AaABAg,@Eso.riddle,UCPv7Uhpyp4kFdPQTrOx3KKw,TREAT YOUR EMPLOYEES WELL. YOURE HERE THANKS TO US!!!,0,2026-05-11T19:10:22Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugxq_IMbtWjf5dbNcIx4AaABAg,@Eso.riddle,UCPv7Uhpyp4kFdPQTrOx3KKw,TREAT YOUR EMPLOYEES WELL. YOURE HERE THANKS TO US!!!,0,2026-05-11T19:10:14Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwTYlXfPqvbO3zFx7t4AaABAg,@Eso.riddle,UCPv7Uhpyp4kFdPQTrOx3KKw,TREAT YOUR EMPLOYEES WELL. YOURE HERE THANKS TO US!!!,0,2026-05-11T19:10:04Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzuGMHrgZLp0sj8R_94AaABAg,@HansonJimenez,UCoFBym7tYdVgVLtKvHdlc3w,Where is Eddie hall or Brian Shaw ?🕵️,0,2026-05-11T17:18:57Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxUeZk7myIF1jZx6-x4AaABAg,@faysalmahamud5681,UCRhCjik6RoP2_UwAUD6P2rQ,Hey jimmy i will join your show please invite me. I need to join and prize money…,0,2026-05-11T11:52:55Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwhWhlXZKS9rrv-TfV4AaABAg,@BMS-LemonVr,UC4_1onH5R0o24DYOd5JNfNg,"The rest is going straight on black😂 
I like that one",0,2026-05-08T22:09:20Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugx8hgtkTzHjto-bIjd4AaABAg,@freebonus-f9x,UCjCs3QhmB53qGY8zol74DsQ,UFS wat boy?,0,2026-05-08T21:31:51Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgyGEqZWk_C7TH7LTPN4AaABAg,@keanpiosca3902,UCLKkQTsM0e3weF9cgpESz2A,I thought mark rober was in there,0,2026-05-08T16:21:22Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugy1YEqdBAjRFTKN4Od4AaABAg,@MadanPal-f2b,UCXEn_Spg-Zo4A4Z1xxeQb7g,Smart,0,2026-05-08T15:14:15Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxvGN0dac4R0zpJId14AaABAg,@top5rankedclips01,UCSz7BtbaW2K9qCmTj2tW42Q,IM THE STRONGEST,0,2026-05-08T05:50:52Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzoPjkfOtHgFako51p4AaABAg,@BlancoHdOG,UC2b0dYQHdEgF7M-hsnq_kfw,Sonya did it for her kids ! Almost teared up 😢,0,2026-05-07T21:23:07Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxJFKvQp0xVIGBkpMd4AaABAg,@IWG_Studio,UCyhKrx7imPNeBL0ShBy_LtQ,Wow I totally believe you 1:54,0,2026-05-07T12:09:20Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwIQt0Z42aStg75QOh4AaABAg,@Broduerprod30,UCBgeaMhaoHFIRdAl0ie8ztg,W,0,2026-05-06T21:11:14Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwZb1jgyLID8IM-VlN4AaABAg,@demonkitti27,UCGJYZGm_TCne25zIjB4tPrw,"I am so proud of 110 for finding the inner strength to keep going. She was so close to giving up, and then she made it up! If you see this, Sonya, I teared up watching your big finish at the end of the climbing challenge.",68,2026-05-06T17:20:39Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzTDbtZeu9zw71us_94AaABAg,@Zeethrew7,UCFcc8W78tHUztwLmfACz3MQ,8 degrees are way too scary and crazy 😧,0,2026-05-06T12:18:10Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzsJqOn_0XXargpImB4AaABAg,@AbhinavKourav-h4s,UCZbotfJ-aF8u7z_8anCgncg,Indian people also wanted to play beast game,0,2026-05-05T07:45:09Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxwRUx_dOFeQwq2cD94AaABAg,@zkidsarcade,UCAEqMq3nPYTJm47y5xOGzGw,Cheering really helps❤,0,2026-05-05T01:23:17Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzvoQncKgpMUQE3pMp4AaABAg,@Bambou.official,UC54BIsGndHKbbJgB1TCZNOg,"hey MRBEAST, plsss one pc",0,2026-05-04T13:41:33Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxidaPqC45S3gxLTcJ4AaABAg,@RoseAnnBals12,UCRaqX3u7z0Pei-q9qPeobbQ,That game for strong is so hard the freak😭😭,0,2026-05-04T09:03:40Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzRZvFoANSeRiVbteN4AaABAg,@blesing-k9l,UCtcuX8Z1OxaRSqK4vPHUvqw,13:42,0,2026-05-02T07:35:04Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwfBE6ZAuIR6WCRlOt4AaABAg,@blesing-k9l,UCtcuX8Z1OxaRSqK4vPHUvqw,at 13:45 into the vid and warning michelle IS EXTREMLY SMART!,1,2026-05-02T07:34:30Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzuzJimjj005ZDqO_B4AaABAg,@harendratyagi2767,UCYN2gZWOVaemnYVbFYMvDNw,Ple tel me which country you are from❤,0,2026-05-02T03:28:12Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
